Timestamp;Regional Variant;iPhone Model;Condition;Current iOS;Battery issue on iOS update;The battery issue version;Display issue on iOS update;The display issue version; Noticeable difference in battery performance;The iOS version better/worst;Battery health percentage before;Battery health percentage current;Apple Charger;Percentage level the device on charging;Percentage level the device unplug from charge;Noticeable difference in overall performance;The version having better/worst performance;Are you Satisfied with your device so far?;Any feedback you want to provide?
2023/02/20 3:11:35 PM GMT+1;USA;13 Pro Max;New;16.3.1;No;;No;;Yes;16.3.1;100;97;Original;20% - 30 %;80 % - 90 %;No;;8;
2023/02/20 3:30:30 PM GMT+1;Malaysia ;13 Pro;New;16.3.1;Yes;16.3.1;No;;No;N/A;100;95;Original;30 % - 40 %;90 % - 100 %;Yes;Not remembering ;6;N/A
2023/02/20 6:02:18 PM GMT+1;USA;13 Pro Max;New;16.3;No;;No;;No;;100;96;Original;20% - 30 %;80 % - 90 %;No;;1;In bangladesh mainly iphone 13 promax facing display issue like suddenly display become white color.There are lots of iphone user in bd so please do something for Bangladesh regarding display issue
2023/02/20 6:42:27 PM GMT+1;EU;14 Pro Max;New;16.3.1;No;;No;;No;;100;100;Original;30 % - 40 %;80 % - 90 %;No;;5;
2023/02/20 7:05:50 PM GMT+1;USA;13 Pro Max;Used;16.3.1;No;;No;;No;;95;94;Certified Third party;20% - 30 %;100 %;No;;6;
2023/02/20 11:48:25 PM GMT+1;Singapore;13 Pro Max;New;16.3;Maybe;16.3;Yes;;Yes;;100;100;Original;20% - 30 %;100 %;Yes;আমি তো 16.3 দিছি;2;আমার আগের usa mobile ছিলো সেটা আপডেট দেওয়ার ১৫ দিন পরে display সাদা হয়ে গেছে মোবাইলে ওয়ারেন্টি ছিলো তার পরে চেন্স করে Singapore new i phone দিছে গত সপ্তাহে আপডেট চাইছে ২ বার সেটাও দিলাম আবার কি আগের টার মত হবে দয়া করে বলবে এখন 16.3 আসছে
2023/02/21 3:21:54 AM GMT+1;USA;13 Pro Max;New;16.3.1;Yes;16.3;No;;Yes;16.3;100;98;Original;20% - 30 %;90 % - 100 %;No;;7;
2023/02/21 8:20:15 AM GMT+1;USA;iPhone X;New;16.3.1;Yes;;No;;Yes;;100;79;Original;20% - 30 %;100 %;Yes;;5;
2023/02/21 9:02:53 AM GMT+1;China;SE 2020;New;16.3;No;;No;;Yes;16.0.1;100;78;Original;20% - 30 %;100 %;Yes;;5;Nehi
2023/02/21 10:46:15 AM GMT+1;USA;iPhone Xs Max;Used;16.3.1;No;;No;;No;;94;90;Certified Third party;20% - 30 %;80 % - 90 %;Yes;16.3.1;8;Keep doing this kind of survey
2023/02/21 6:42:05 PM GMT+1;Singapore;14 Pro Max;New;16.3.1;No;;No;;No;;100;100;Original;20% - 30 %;90 % - 100 %;Maybe;;8;
2023/02/21 10:43:13 PM GMT+1;EU;13 Pro;New;16;No;;No;;No;;100;92;Original;40% - 50%;90 % - 100 %;No;;8;
2023/02/22 1:02:35 AM GMT+1;EU;14 Pro Max;New;16.2;No;;No;;No;;100;100;Original;20% - 30 %;100 %;No;;6;Camera quality is not satisfied specially pixel resulation
2023/02/22 10:48:38 AM GMT+1;EU ;11 Pro;New;16.3.1;No;;No;;No;No;100;95;Original;20% - 30 %;90 % - 100 %;No;No;6;Suddenly  my phone is not Working ,, i did not ios update in my phone 
2023/02/22 1:53:07 PM GMT+1;USA;Xs Max;Used;16.3.1;Yes;16.1;No;;Yes;;83;83;Original;30 % - 40 %;80 % - 90 %;No;;5;
2023/02/22 2:19:01 PM GMT+1;USA;14 Pro Max;New;16.3.1;Yes;16.3.1;Yes;16.2.1;Yes;16.3.1;100;100;Original;20% - 30 %;90 % - 100 %;No;;7;If you have 13.3.0 then don’t go for 16.3.1.  16.3.0 was great btry performance .
2023/02/22 4:36:22 PM GMT+1;Japan;11 Pro Max;New;163.1;No;;No;;No;;100;87;Original;20% - 30 %;100 %;No;;8;
2023/02/22 4:50:21 PM GMT+1;USA;13 Pro Max;New;16.3.1;Yes;16.3;Yes;16.4;Yes;16;100;100;Original;30 % - 40 %;80 % - 90 %;Yes;16;5;Shocking 
2023/02/22 5:24:26 PM GMT+1;USA;13 Pro Max;New;15.4;No;;Maybe;;No;;100;100;Original;20% - 30 %;90 % - 100 %;No;;1; display issue 
2023/02/22 5:37:48 PM GMT+1;Singapore;14 Pro;New;16.3.1;No;;No;;No;;100;100;Certified Third party;20% - 30 %;90 % - 100 %;No;;7;
2023/02/22 6:57:59 PM GMT+1;USA;14 Pro;New;16.3;Maybe;;No;;Maybe;;100;100;Original;20% - 30 %;90 % - 100 %;No;;8;
2023/02/23 2:12:11 AM GMT+1;Australia ;11 Pro;Used;16.3.1;Yes;;No;;Yes;16.3 is better than 16.2;86;83;Original;30 % - 40 %;80 % - 90 %;Yes;16.3.1 better;7;please share a report of the survey with us
2023/02/23 3:42:53 AM GMT+1;USA;13 Pro Max;Used;16;No;;No;;Yes;;100;100;Original;20% - 30 %;90 % - 100 %;Yes;16.1;8;I found my phone in blacklist. When I send my device to Dubai for claiming warranty then they said we are unable to give this phone warranty as this phone is missing in National database. And they also said to my brother it’s their internal issues. They force this phone to make this happen as it’s in blacklist. 
2023/02/23 4:12:31 AM GMT+1;Ireland;iPhone 13;New;16.2;Maybe;;No;;No;;100;100;Original;30 % - 40 %;100 %;No;;8;
2023/02/23 11:29:20 AM GMT+1;USA;13 Pro Max;New;16;Yes;15.1;Yes;15.1;Yes;;89;80;Original;40% - 50%;90 % - 100 %;Yes;;1;
2023/02/23 11:35:53 AM GMT+1;USA;14 Pro Max;Used;16.3.1;No;;No;;Maybe;;100;100;Certified Third party;40% - 50%;90 % - 100 %;No;;8;
2023/02/23 11:50:17 AM GMT+1;USA;12 Pro;New;16.3;No;;No;;No;;94;85;Original;20% - 30 %;80 % - 90 %;No;;7;
2023/02/23 12:15:37 PM GMT+1;USA;13 Pro Max;New;16.3;Yes;16;Yes;16;Yes;iOS 16 had worse battery performance than iOS 15;100;85;Original;20% - 30 %;90 % - 100 %;Yes;;2;after update my iphone 13 pro max stuck on white screen.
2023/02/23 5:13:07 PM GMT+1;USA;14 Pro;New;16.3.1;No;;No;;Yes;16.3.1;100;100;Original;20% - 30 %;90 % - 100 %;No;no;8;I am not sure if my device has any problem or the charger. Sometimes my charging stuck but after unplugging then plugging then it is okay
2023/02/24 1:17:46 AM GMT+1;USA;iPhone 7;New;15.7.3;Yes;15.1;No;;Yes;;100;93;Original;20% - 30 %;100 %;Yes;;8;
2023/02/24 3:22:05 AM GMT+1;USA;12 Pro Max;New;16.3;No;;No;;No;;100;87;Original;20% - 30 %;90 % - 100 %;No;;4;
2023/02/24 2:33:34 PM GMT+1;EU;14 Pro Max;New;16.2;No;;No;;No;;100;100;Certified Third party;40% - 50%;80 % - 90 %;No;;8;
2023/02/25 12:58:42 PM GMT+1;USA;13 Pro Max;New;16.1;No;;No;;No;;100;100;Original;20% - 30 %;90 % - 100 %;No;;8;
2023/02/25 6:54:24 PM GMT+1;USA;14 Pro;New;16.3.1;No;;No;;No;;100;100;Original;20% - 30 %;90 % - 100 %;No;;8;
2023/02/26 9:52:54 AM GMT+1;USA;iPhone 7;Used;15.7.3;No;;No;;Yes;15.3;71;72;Original;20% - 30 %;100 %;Yes;;1;Faltu
2023/02/26 4:25:20 PM GMT+1;USA;13 Pro Max;New;15.7;No;15.1;Yes;15.1;Maybe;No;100;96;Original;30 % - 40 %;100 %;Yes;15.1;8;Hate you
2023/02/26 6:08:51 PM GMT+1;Japan;14 Pro;New;16.3.1;No;;No;;No;;100;99;Certified Third party;20% - 30 %;90 % - 100 %;No;;7;
2023/02/26 7:15:15 PM GMT+1;USA;13 Pro Max;New;16.1;No;;Yes;16.1;No;;100;99;Original;30 % - 40 %;80 % - 90 %;No;;6;
